menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
3,4,1917,1918,0.5,0.5
1,1,1941,1941,0.3,0.3
4,4,1917,1917,0.2,0.2
1,1,1900,1900,0.05,0.05
1,1,1914,1914,0.2,0.2
2,1,1959,1959,0.25,0.25
2,2,1,1,0.65,65.0
1,1,1915,1915,0.1,0.1
2,2,1938,1961,1.8,7.75
1,1,1900,1900,0.1,0.1
8,9,1900,1955,0.25,0.6
6,6,1905,1906,0.35,60.0
1,1,1975,1975,3.25,3.25
2,2,1939,1939,1.25,1.25
9,9,1940,1965,0.5,1.0
1,1,1987,1987,2.95,2.95
1,0,1858,1858,2.0,2.0
1,1,1987,1987,12.5,12.5
1,1,1917,1917,0.35,0.35
1,1,1940,1940,0.5,0.5
1,1,1913,1913,0.2,0.2
1,1,1920,1920,1.25,1.25
2,2,1949,1949,0.16,0.16
46,46,1882,1969,0.15,0.75
2,2,1939,1939,0.5,1.0
1,1,1917,1917,0.45,0.45
1,1,1972,1972,0.4,0.4
1,1,1893,1893,0.35,0.35
1,1,1892,1892,0.5,0.5
29,31,1912,1917,0.35,50.0
3,3,1892,1913,1.0,1.75
5,5,1913,1913,0.25,25.0
1,1,1959,1959,0.8,0.85
1,1,1905,1905,0.5,0.5
1,1,1917,1917,0.75,0.75
1,1,1917,1917,1.5,1.5
2,2,1961,1961,0.4,0.6
1,1,1917,1917,0.95,0.95
3,3,1917,1918,0.4,0.4
2,2,1899,1899,0.2,0.2
1,1,1919,1919,0.15,1.75
2,2,1913,1914,0.6,1.0
1,1,1907,1907,0.75,1.5
3,3,1900,1914,0.1,0.1
1,1,1914,1914,0.35,0.35
19,19,1907,1949,0.1,0.2
1,1,1918,1918,0.3,0.3
4,4,1917,1920,0.3,0.4
2,2,1939,1939,1.1,2.0
1,1,1901,1901,0.65,1.0
1,1,1913,1913,175.0,175.0
1,1,1912,1912,0.2,0.2
1,1,1958,1958,0.25,0.25
1,1,1894,1894,0.5,0.5
1,1,1917,1917,0.15,0.15
3,4,1900,1917,0.15,0.15
1,1,1919,1919,0.5,0.5
6,6,1900,1901,0.1,0.15
4,4,1900,1900,1.0,1.5
1,1,1913,1913,0.25,0.25
1,1,1914,1914,1.75,1.75
1,1,1933,1933,0.4,0.4
1,1,1913,1913,0.05,0.05
2,2,1898,1900,0.2,0.25
1,1,1920,1920,0.5,0.5
1,1,1913,1913,0.15,0.15
2,2,1913,1958,0.35,0.4
1,1,1987,1987,18.5,18.5
1,1,1971,1971,16.5,16.5
10,10,1896,1912,1.0,1.25
9,9,1906,1937,0.3,0.5
1,1,1914,1914,0.15,0.15
1,1,1962,1962,1.0,1.0
1,1,1917,1917,0.25,0.25
6,6,1900,1908,0.25,0.5
3,3,1941,1946,6.5,15.0
1,1,1900,1900,0.1,0.1
1,1,1940,1940,1.5,2.5
1,1,1917,1917,0.3,0.3
1,1,1900,1900,0.6,1.0
1,1,1958,1958,0.6,0.6
11,11,1959,1987,0.6,1.5
3,3,1900,1901,0.4,0.45
1,1,1901,1901,1.75,1.75
1,1,1917,1917,0.4,0.4
2,2,1961,1961,2.25,2.25
1,1,1906,1906,0.25,0.25
1,1,1959,1959,0.65,0.65
1,1,1989,1989,1.85,1.85
2,2,1914,1914,0.95,0.95
1,1,1959,1959,1.65,1.65
1,1,1969,1969,2.2,2.2
1,1,1901,1901,0.3,0.3
1,1,1975,1975,3.75,3.75
5,5,1915,1940,0.4,0.45
1,1,1900,1900,0.9,1.75
9,9,1897,1949,0.45,2.0
1,1,1950,1950,3.5,6.25
1,1,1900,1900,0.5,0.5
3,3,1917,1918,0.15,0.15
1,1,1962,1962,1.0,1.0
1,1,1914,1914,0.15,0.15
1,1,1955,1955,1.0,1.0
8,8,1900,1910,1.4,2.5
1,1,1900,1900,1.0,2.0
3,3,1959,1962,0.75,5.0
1,1,1900,1900,0.25,0.25
1,1,1959,1959,3.5,3.5
1,1,1915,1915,0.45,0.45
4,4,1900,1901,0.1,0.15
166,168,1892,1928,0.15,40.0
1,1,1969,1969,4.0,4.0
6,6,1917,1918,2.2,2.2
2,2,1914,1914,0.15,0.15
1,1,1989,1989,3.5,3.5
1,1,1917,1917,0.35,0.35
1,1,1917,1917,0.45,0.45
1,1,1917,1917,1.75,1.75
2,2,1963,1963,1.25,1.25
4,4,1900,1945,0.15,0.2
1,1,1938,1938,1.1,1.1
1,1,1912,1912,0.2,0.3
1,1,1918,1918,0.45,0.45
2,2,1917,1917,4.0,4.0
1,1,1900,1900,0.5,1.0
1,1,1914,1914,0.1,0.1
1,1,1900,1900,2.0,3.5
3,3,1900,1900,0.4,50.0
1,1,1912,1912,1.25,1.25
1,1,1900,1900,0.4,4.0
1,1,1953,1953,1.1,1.1
2,2,1952,1952,0.3,0.3
3,3,1901,1901,0.35,35.0
1,1,1940,1940,0.5,0.5
1,1,1998,1998,9.0,9.0
1,1,1977,1977,1.5,1.5
1,1,1939,1939,0.4,0.55
1,1,1916,1916,0.5,1.0
1,1,1906,1906,1.9,3.75
1,1,1964,1964,1.25,1.25
1,1,1982,1982,18.75,18.75
2,2,1953,1953,0.25,0.25
2,2,1900,1901,0.2,0.25
1,1,1900,1900,0.4,0.4
4,4,1900,1943,0.2,0.4
1,1,1917,1917,0.5,0.5
15,15,1880,1935,0.3,0.5
1,1,1901,1901,0.3,0.3
1,1,1955,1955,0.25,0.25
1,1,1900,1900,0.15,0.15
6,6,1894,1900,0.2,0.35
1,1,1906,1906,0.1,0.1
1,1,1899,1899,0.25,0.25
1,1,1901,1901,0.4,0.4
2,2,1900,1907,0.25,0.3
2,2,1955,1959,0.6,0.95
1,1,1901,1901,0.15,0.25
1,1,1987,1987,2.75,2.75
5,5,1913,1919,0.05,0.1
1,1,1943,1943,7.5,15.0
1,0,1959,1959,1.5,1.5
3,3,1943,1947,0.3,0.43
1,1,1901,1901,5.5,5.5
6,6,1900,1910,0.12,0.12
1,1,1907,1907,0.45,0.45
1,1,1900,1900,3.0,3.0
1,1,1900,1900,0.3,0.5
1,1,1905,1905,0.4,0.4
9,9,1914,1914,0.4,40.0
1,1,1900,1900,0.1,0.1
2,2,1913,1913,0.25,0.25
1,1,1961,1961,1.95,1.95
1,1,1914,1914,0.5,0.5
1,1,1914,1914,0.25,0.25
1,1,1917,1917,0.7,0.7
1,1,1987,1987,9.0,9.0
7,7,1917,1983,0.15,0.45
1,1,1918,1918,0.25,0.25
7,9,1914,1987,0.05,2.75
6,6,1901,1905,0.1,0.25
1,1,1900,1900,1.0,1.0
1,1,1955,1955,1.05,1.05
2,2,1900,1901,0.3,0.35
1,1,1984,1984,5.75,5.75
1,1,1933,1933,0.4,0.4
1,1,1998,1998,3.95,3.95
1,1,1987,1987,0.95,0.95
2,2,1913,1914,0.4,0.4
